,time (minutes),percents,optimization
0,1.2930306041010002,0.6,0.1
1,2.5860612082020005,0.7666666666666667,0.1
2,3.879091812303,0.7333333333333333,0.1
3,5.172122416404001,0.8333333333333334,0.1
4,6.465153020505,0.8666666666666667,0.1
5,7.758183624606,0.8666666666666667,0.1
6,9.051214228707,0.8666666666666667,0.1
7,10.344244832808002,0.9,0.1
8,11.637275436909,0.9,0.1
9,12.93030604101,0.9,0.1
10,14.223336645111,0.9,0.1
11,15.516367249212,0.9,0.1
12,16.809397853313,0.9,0.1
13,18.102428457414,0.9333333333333332,0.1
14,19.395459061515,0.9666666666666668,0.1
15,20.688489665616004,0.9666666666666668,0.1
16,21.981520269717,1.0,0.1
17,23.274550873818,1.0,0.1
18,24.567581477919003,1.0,0.1
19,25.86061208202,1.0,0.1
0,0.5465247436669999,0.5666666666666667,stop-words-0.1
1,1.0930494873339998,0.7,stop-words-0.1
2,1.639574231001,0.7333333333333333,stop-words-0.1
3,2.1860989746679995,0.7333333333333333,stop-words-0.1
4,2.732623718335,0.8,stop-words-0.1
5,3.279148462002,0.8,stop-words-0.1
6,3.825673205669,0.8333333333333334,stop-words-0.1
7,4.372197949335999,0.8333333333333334,stop-words-0.1
8,4.918722693003,0.8333333333333334,stop-words-0.1
9,5.46524743667,0.8333333333333334,stop-words-0.1
10,6.011772180336999,0.8333333333333334,stop-words-0.1
11,6.558296924004,0.8333333333333334,stop-words-0.1
12,7.104821667670999,0.8333333333333334,stop-words-0.1
13,7.651346411337999,0.8333333333333334,stop-words-0.1
14,8.197871155004998,0.8333333333333334,stop-words-0.1
15,8.744395898671998,0.8333333333333334,stop-words-0.1
16,9.290920642339,0.8333333333333334,stop-words-0.1
17,9.837445386006,0.8666666666666667,stop-words-0.1
18,10.383970129672996,0.8666666666666667,stop-words-0.1
19,10.93049487334,0.8666666666666667,stop-words-0.1
0,0.8607271295009999,0.6333333333333333,topk-0.1
1,1.721454259002,0.6666666666666666,topk-0.1
2,2.582181388503,0.7333333333333333,topk-0.1
3,3.442908518004,0.8333333333333334,topk-0.1
4,4.303635647505,0.8333333333333334,topk-0.1
5,5.164362777006,0.8,topk-0.1
6,6.025089906507,0.8,topk-0.1
7,6.885817036008,0.8333333333333334,topk-0.1
8,7.746544165508999,0.8666666666666667,topk-0.1
9,8.60727129501,0.8666666666666667,topk-0.1
