,# of features removed,AOPC-global,alpha
18,18,0.05907470334578509,0.5
19,19,0.06087950084469855,0.5
20,20,0.06254119937994278,0.5
21,21,0.0641165464363166,0.5
22,22,0.06561784128388402,0.5
23,23,0.06703019963293474,0.5
24,24,0.06839034089829832,0.5
25,25,0.06966736836988731,0.5
26,26,0.07092003113762788,0.5
27,27,0.07212084053048376,0.5
28,28,0.07327956719954462,0.5
29,29,0.07438421541671232,0.5
30,30,0.07548170754331578,0.5
0,0,0.0,0.95
1,1,0.009230342653239257,0.95
2,2,0.01589328011634442,0.95
3,3,0.021080466729179848,0.95
4,4,0.02684110852847992,0.95
