,# of features removed,AOPC-global,percent
26,26,0.13946441067436885,75
27,27,0.14195763920474638,75
28,28,0.14445776285199857,75
29,29,0.1469356585922007,75
30,30,0.14937803163318866,75
0,0,0.0,100
1,1,0.00045379879743122044,100
2,2,0.01814117333622535,100
3,3,0.03373181633478557,100
4,4,0.04433841042532081,100
5,5,0.05211443210353083,100
6,6,0.05977353354878835,100
7,7,0.0668091143099767,100
8,8,0.07315387332722217,100
9,9,0.07861321967814824,100
10,10,0.08419158327681714,100
11,11,0.08999967587507623,100
12,12,0.09540384521738712,100
13,13,0.10006436688418006,100
14,14,0.10416047430198884,100
15,15,0.10808664048435976,100
16,16,0.11217718209261131,100
17,17,0.11581322319739752,100
18,18,0.11908028181321685,100
19,19,0.12205170230087163,100
20,20,0.1247543152656166,100
21,21,0.12730352517507648,100
22,22,0.12976830417135843,100
23,23,0.13215666797927295,100
24,24,0.13453686264992284,100
25,25,0.13696668227924183,100
26,26,0.13937232405856625,100
27,27,0.1417843535868689,100
28,28,0.14413303671122815,100
29,29,0.14649802147563415,100
30,30,0.14883476811990962,100
0,0,0.0,5
1,1,0.026304162409475584,5
2,2,0.044068157518184985,5
3,3,0.05317705447125529,5
4,4,0.05864239264309747,5
5,5,0.0622859514243256,5
6,6,0.06488849341091711,5
7,7,0.06684039990086076,5
8,8,0.06835854939303915,5
9,9,0.06957306898678185,5
10,10,0.0705667668362077,5
11,11,0.07139484837739592,5
12,12,0.07209553275840132,5
13,13,0.07269611937069168,5
14,14,0.07321662776800998,5
15,15,0.0736720726156635,5
16,16,0.07407393571653424,5
17,17,0.07443114736175269,5
18,18,0.07475075778115867,5
19,19,0.07503840715862405,5
20,20,0.07529866135728319,5
21,21,0.07553525608333697,5
22,22,0.07575127735495128,5
23,23,0.07594929685393108,5
24,24,0.07613147479299248,5
25,25,0.07629963904443378,5
26,26,0.07645534668465721,5
27,27,0.07659993235057895,5
28,28,0.07673454659126472,5
29,29,0.07686018654923808,5
30,30,0.07697772070347125,5
0,0,0.0,10
1,1,0.00045379879743122044,10
2,2,0.01814117333622535,10
3,3,0.03373181633478557,10
4,4,0.046032922479072216,10
5,5,0.05493479946006075,10
6,6,0.06138610014473585,10
7,7,0.06700720584036661,10
8,8,0.07256214522638084,10
9,9,0.07822888497789457,10
10,10,0.08286530841095124,10
11,11,0.08672899460516514,10
12,12,0.08999826753873075,10
13,13,0.09280050148178698,10
14,14,0.09522910423243572,10
15,15,0.09735413163925336,10
16,16,0.09922915582173951,10
17,17,0.10089584398394942,10
18,18,0.10238709128697936,10
19,19,0.10372921385970628,10
20,20,0.10494351523503065,10
21,21,0.10604742557623462,10
22,22,0.10705534371385564,10
23,23,0.10797926867334157,10
24,24,0.10882927963606863,10
25,25,0.10961390514012437,10
26,26,0.11034041023647229,10
27,27,0.11101502211165248,10
28,28,0.1116431090299237,10
29,29,0.11222932348697685,10
30,30,0.11277771765647818,10
0,0,0.0,25
1,1,0.026304162409475584,25
2,2,0.03537474907758826,25
3,3,0.0409674808384244,25
4,4,0.0497206844782566,25
5,5,0.05801175385910351,25
6,6,0.06568078662071178,25
7,7,0.07148222009533928,25
8,8,0.0764618724988034,25
9,9,0.08107169856727425,25
10,10,0.08519826317106118,25
11,11,0.08952429322460966,25
12,12,0.0937889160258346,25
13,13,0.0974907155617262,25
14,14,0.10073684518476482,25
15,15,0.10377068319690771,25
16,16,0.1065670319554584,25
17,17,0.10935673946687077,25
18,18,0.11239647973592193,25
19,19,0.11532497536830619,25
20,20,0.11818089646672465,25
21,21,0.1209819208530183,25
22,22,0.12414431160539166,25
23,23,0.12704316979506722,25
24,24,0.12971011932956875,25
25,25,0.13217191889987784,25
26,26,0.13445136294646035,25
27,27,0.1365679895611441,25
28,28,0.1385386419265393,25
29,29,0.14037791746757483,25
30,30,0.14209853007047904,25
0,0,0.0,50
1,1,0.026304162409475584,50
2,2,0.03537474907758826,50
3,3,0.04665699814080775,50
4,4,0.054272298320163295,50
5,5,0.06065812607754879,50
6,6,0.06732423186507451,50
7,7,0.07385229650909673,50
8,8,0.07962535139411352,50
9,9,0.08428352242486398,50
10,10,0.08827933133304328,50
11,11,0.09186713821250485,50
12,12,0.095226577672725,50
13,13,0.09838493835472928,50
14,14,0.1014224585811391,50
15,15,0.10435109665746559,50
16,16,0.10730961159947082,50
17,17,0.11051329362669556,50
18,18,0.11394009936709205,50
19,19,0.11705671052783803,50
20,20,0.11990357540560767,50
21,21,0.12260684178921061,50
22,22,0.1257070163622557,50
23,23,0.12870945087941224,50
24,24,0.1316906168379407,50
25,25,0.13444246233812082,50
26,26,0.1369904674308802,50
27,27,0.13935647215987104,50
28,28,0.14155930414893148,50
29,29,0.14361528067205456,50
30,30,0.14553861354852454,50
0,0,0.0,75
1,1,0.026304162409475584,75
2,2,0.03537474907758826,75
3,3,0.04665699814080775,75
4,4,0.054272298320163295,75
5,5,0.06065812607754879,75
6,6,0.06611386611239493,75
7,7,0.07204737135424862,75
8,8,0.07802097347869297,75
9,9,0.08337604501984879,75
10,10,0.08869656150060914,75
11,11,0.09316343117019033,75
12,12,0.09709927156085271,75
13,13,0.10069396285797373,75
14,14,0.10408981780273094,75
15,15,0.10730517688098214,75
16,16,0.11039713642364415,75
17,17,0.11342928929397039,75
18,18,0.11670262157819451,75
19,19,0.11968110662838538,75
20,20,0.1224030002632718,75
21,21,0.12487747439433408,75
22,22,0.12717394336612242,75
23,23,0.12938464671042307,75
24,24,0.13199991063215466,75
25,25,0.13461347792337308,75
26,26,0.1372575453510456,75
27,27,0.1398504146697688,75
28,28,0.1424531948999115,75
29,29,0.14495963178769508,75
30,30,0.1473043630698152,75
0,0,0.0,100
1,1,0.026304162409475584,100
2,2,0.03537474907758826,100
3,3,0.04665699814080775,100
4,4,0.054272298320163295,100
5,5,0.06065812607754879,100
6,6,0.06611386611239493,100
7,7,0.07204737135424862,100
8,8,0.07781010181101944,100
9,9,0.08364307441913843,100
10,10,0.08879794630839803,100
11,11,0.09345475005373823,100
12,12,0.09783834540871866,100
13,13,0.10162408937208549,100
14,14,0.10504042472121797,100
15,15,0.10822319274369298,100
16,16,0.11126115135325436,100
17,17,0.1142453033941578,100
18,18,0.11747568756784575,100
19,19,0.12041551931855406,100
20,20,0.1231024409205753,100
21,21,0.1255733403164286,100
22,22,0.12782940316419214,100
23,23,0.12993307867459303,100
24,24,0.13187720078148513,100
25,25,0.13374232805402483,100
26,26,0.1355631704502235,100
27,27,0.13777307485827853,100
28,28,0.14003921476462963,100
29,29,0.14232715919222805,100
30,30,0.14459183584400603,100
0,0,0.0,5
1,1,0.026304162409475584,5
2,2,0.044068157518184985,5
3,3,0.05317705447125529,5
4,4,0.05864239264309747,5
5,5,0.0622859514243256,5
6,6,0.06488849341091711,5
7,7,0.06684039990086076,5
8,8,0.06835854939303915,5
9,9,0.06957306898678185,5
10,10,0.0705667668362077,5
11,11,0.07139484837739592,5
12,12,0.07209553275840132,5
13,13,0.07269611937069168,5
14,14,0.07321662776800998,5
15,15,0.0736720726156635,5
16,16,0.07407393571653424,5
17,17,0.07443114736175269,5
18,18,0.07475075778115867,5
19,19,0.07503840715862405,5
20,20,0.07529866135728319,5
21,21,0.07553525608333697,5
22,22,0.07575127735495128,5
23,23,0.07594929685393108,5
24,24,0.07613147479299248,5
25,25,0.07629963904443378,5
26,26,0.07645534668465721,5
27,27,0.07659993235057895,5
28,28,0.07673454659126472,5
29,29,0.07686018654923808,5
30,30,0.07697772070347125,5
0,0,0.0,10
1,1,0.00045379879743122044,10
2,2,0.01814117333622535,10
3,3,0.03373181633478557,10
4,4,0.046032922479072216,10
5,5,0.05493479946006075,10
6,6,0.06138610014473585,10
7,7,0.06700720584036661,10
8,8,0.07256214522638084,10
9,9,0.07822888497789457,10
10,10,0.08286530841095124,10
11,11,0.08672899460516514,10
12,12,0.08999826753873075,10
13,13,0.09280050148178698,10
14,14,0.09522910423243572,10
15,15,0.09735413163925336,10
16,16,0.09922915582173951,10
17,17,0.10089584398394942,10
18,18,0.10238709128697936,10
19,19,0.10372921385970628,10
20,20,0.10494351523503065,10
21,21,0.10604742557623462,10
22,22,0.10705534371385564,10
23,23,0.10797926867334157,10
24,24,0.10882927963606863,10
25,25,0.10961390514012437,10
26,26,0.11034041023647229,10
27,27,0.11101502211165248,10
28,28,0.1116431090299237,10
29,29,0.11222932348697685,10
30,30,0.11277771765647818,10
0,0,0.0,25
1,1,0.00045379879743122044,25
2,2,0.01814117333622535,25
3,3,0.03373181633478557,25
4,4,0.04393215287534554,25
5,5,0.05318797752334429,25
6,6,0.06154612119006102,25
7,7,0.06786438784351986,25
8,8,0.07321234813236768,25
9,9,0.07803803187030708,25
10,10,0.0823488515674244,25
11,11,0.08682842753208157,25
12,12,0.09066881641662093,25
13,13,0.09398536952494156,25
14,14,0.09706608845026916,25
15,15,0.09981210833618391,25
16,16,0.10248252807721366,25
17,17,0.10523275078925405,25
18,18,0.10823716255360397,25
19,19,0.11113386253175712,25
20,20,0.11392947218914339,25
21,21,0.11685803499850253,25
22,22,0.12015508697119053,25
23,23,0.12375711274583871,25
24,24,0.12707097645851503,25
25,25,0.13012992757790856,25
26,26,0.13296228972549515,25
27,27,0.13559234029111128,25
28,28,0.1380410080590987,25
29,29,0.1403264313092203,25
30,30,0.1424644078980437,25
0,0,0.0,50
1,1,0.00045379879743122044,50
2,2,0.01814117333622535,50
3,3,0.03373181633478557,50
4,4,0.04393215287534554,50
5,5,0.052506829669837655,50
6,6,0.05975356535545928,50
7,7,0.06703031733539458,50
8,8,0.07404866692279129,50
9,9,0.07999526057951277,50
10,10,0.08489677095568221,50
11,11,0.08954613734917766,50
12,12,0.0938319473116902,50
13,13,0.09781499342609283,50
14,14,0.10163184372981589,50
15,15,0.10561721508419618,50
16,16,0.10917193803734249,50
17,17,0.1123985377730104,50
18,18,0.1153279298112422,50
19,19,0.11798173649075164,50
20,20,0.12039698458146035,50
21,21,0.12261666496850249,50
22,22,0.12473160613550693,50
23,23,0.12677590899208904,50
24,24,0.12878049135901443,50
25,25,0.13079267651728338,50
26,26,0.13284063094271906,50
27,27,0.13526142509220845,50
28,28,0.13764818474189736,50
29,29,0.14008799984391337,50
30,30,0.14283274224177617,50
0,0,0.0,75
1,1,0.026304162409475584,75
2,2,0.03537474907758826,75
3,3,0.04665699814080775,75
4,4,0.054272298320163295,75
5,5,0.06065812607754879,75
6,6,0.06674039084778312,75
7,7,0.07314378964117793,75
8,8,0.07948286452793205,75
9,9,0.0851802285830349,75
10,10,0.09023561063279963,75
11,11,0.09476804495521164,75
12,12,0.09863374101474262,75
13,13,0.1020082540371137,75
14,14,0.10521328781042096,75
15,15,0.1083034735610781,75
16,16,0.11135205834510567,75
17,17,0.11441553275697418,75
18,18,0.11770022235801238,75
19,19,0.12068892899333591,75
20,20,0.12345029347251824,75
21,21,0.12596065018930405,75
22,22,0.12828776950550197,75
23,23,0.13043337400344188,75
24,24,0.13242845040957665,75
25,25,0.1343481501195941,75
26,26,0.13613850455116644,75
27,27,0.13789149662633618,75
28,28,0.1396303372987958,75
29,29,0.1413528223711663,75
30,30,0.1431251516495142,75
0,0,0.0,100
1,1,0.00045379879743122044,100
2,2,0.01814117333622535,100
3,3,0.03373181633478557,100
4,4,0.04393215287534554,100
5,5,0.05204133820686733,100
6,6,0.05935457267291329,100
7,7,0.06668119873816683,100
8,8,0.0728611219057514,100
9,9,0.07902784868252141,100
10,10,0.08445579216431366,100
11,11,0.08950083185389017,100
12,12,0.09406474169670849,100
13,13,0.09871452423469287,100
14,14,0.10277082051610405,100
15,15,0.1063735066122653,100
16,16,0.10982131782559656,100
17,17,0.11319010307459168,100
18,18,0.11653928897470267,100
19,19,0.1195860422791917,100
20,20,0.1223722169198412,100
21,21,0.1249051283288699,100
22,22,0.12725284105972434,100
23,23,0.129455045562661,100
24,24,0.13149298902513085,100
25,25,0.13345225832561142,100
26,26,0.1352859523705287,100
27,27,0.1370791883723759,100
28,28,0.1392499743439017,100
29,29,0.14137922769971736,100
30,30,0.14338230590038414,100
0,0,0.0,5
1,1,0.026304162409475584,5
2,2,0.044068157518184985,5
3,3,0.05317705447125529,5
4,4,0.058741934172211276,5
5,5,0.06245185397284859,5
6,6,0.06510179668758953,5
7,7,0.06708925372364524,5
8,8,0.06863505364057747,5
9,9,0.06987169357412323,5
10,10,0.07088348988338797,5
11,11,0.0717266534744419,5
12,12,0.07244009958994908,5
13,13,0.07305162483181238,5
14,14,0.07358161337476057,5
15,15,0.07404535334984023,5
16,16,0.07445453568079288,5
17,17,0.07481825330830634,5
18,18,0.07514368486976576,5
19,19,0.07543657327507923,5
20,20,0.07570156754655333,5
21,21,0.0759424714297116,5
22,22,0.07616242714911697,5
23,23,0.07636405322523857,5
24,24,0.07654954921527043,5
25,25,0.07672077628299215,5
26,26,0.07687931986421598,5
27,27,0.07702653890392379,5
28,28,0.07716360490641039,5
29,29,0.07729153317539787,5
30,30,0.0774112080076765,5
0,0,0.0,10
1,1,0.00045379879743122044,10
2,2,0.01814117333622535,10
3,3,0.03373181633478557,10
4,4,0.046032922479072216,10
5,5,0.05493479946006075,10
6,6,0.06138610014473585,10
7,7,0.06700720584036661,10
8,8,0.07288661984569228,10
9,9,0.07866439205422918,10
10,10,0.08450328590003421,10
11,11,0.08942043129543116,10
12,12,0.09358109278384398,10
13,13,0.09714737405962638,10
14,14,0.10023815116530448,10
15,15,0.1029425811327728,10
16,16,0.10532884286877427,10
17,17,0.10744996441188667,10
18,18,0.10934781000309252,10
19,19,0.11105587103517778,10
20,20,0.11260125958801682,10
21,21,0.11400615827241595,10
22,22,0.11528889185382385,10
23,23,0.11646473097011444,10
24,24,0.11754650295710176,10
25,25,0.11854506171432083,10
26,26,0.11946965315619035,10
27,27,0.12032820235221205,10
28,28,0.12112754125885293,10
29,29,0.12187359090505108,10
30,30,0.12257150831601066,10
0,0,0.0,25
1,1,0.026304162409475584,25
2,2,0.03537474907758826,25
3,3,0.04665699814080775,25
4,4,0.054272298320163295,25
5,5,0.06180476539402574,25
6,6,0.0676592618565048,25
7,7,0.07338097352895318,25
8,8,0.07918984732163786,25
9,9,0.08522829387502762,25
10,10,0.09020495662119836,25
11,11,0.09491694998969491,25
12,12,0.09925575200797761,25
13,13,0.1033656648142636,25
14,14,0.10697090390556367,25
15,15,0.11035700978054047,25
16,16,0.11359221127662499,25
17,17,0.11668208970674258,25
18,18,0.11986007387194733,25
19,19,0.12340339370145992,25
20,20,0.1266385959687411,25
21,21,0.12957968893899674,25
22,22,0.13226503469444753,25
23,23,0.13472660163694408,25
24,24,0.1369912432240409,25
25,25,0.13908168161213028,25
26,26,0.14101727271221304,25
27,27,0.14281460730514703,25
28,28,0.1444879877882235,25
29,29,0.14604980957242822,25
30,30,0.1475108686608778,25
0,0,0.0,50
1,1,0.026304162409475584,50
2,2,0.03537474907758826,50
3,3,0.04665699814080775,50
4,4,0.05487644969738784,50
5,5,0.061161585558569244,50
6,6,0.06717192754580065,50
7,7,0.07246231421834864,50
8,8,0.076937631622064,50
9,9,0.082050269862181,50
10,10,0.08749819889431491,50
11,11,0.09305712995667846,50
12,12,0.09779140018078379,50
13,13,0.10217595317174644,50
14,14,0.10634077610182151,50
15,15,0.11063062350425978,50
16,16,0.11445400179392785,50
17,17,0.11792052329645664,50
18,18,0.12102626871836418,50
19,19,0.12383633374779116,50
20,20,0.1264754572845688,50
21,21,0.1290181381732679,50
22,22,0.1315007749290987,50
23,23,0.13390550834993306,50
24,24,0.13628613658945202,50
25,25,0.1386755680617018,50
26,26,0.1410307671213688,50
27,27,0.14344506563638787,50
28,28,0.14618552911650368,50
29,29,0.14876049468969932,50
30,30,0.15116933345172107,50
0,0,0.0,75
1,1,0.026304162409475584,75
2,2,0.03537474907758826,75
3,3,0.04665699814080775,75
4,4,0.05487644969738784,75
5,5,0.061161585558569244,75
6,6,0.06654540281041246,75
7,7,0.07191410507488398,75
8,8,0.07645033460565097,75
9,9,0.08161170254740926,75
10,10,0.08709950133543151,75
11,11,0.0920860528389411,75
12,12,0.0963360018978623,75
13,13,0.10088884447220496,75
14,14,0.10496999861751648,75
15,15,0.10882678969367736,75
16,16,0.11260426316494823,75
17,17,0.11653590832929799,75
18,18,0.12008789189149424,75
19,19,0.12334584381801232,75
20,20,0.12629351813982043,75
21,21,0.12897678104479388,75
22,22,0.13143966817516978,75
23,23,0.13382883591200717,75
24,24,0.1361506939687674,75
25,25,0.13843642243352405,75
26,26,0.14065912174841197,75
27,27,0.1428733010161216,75
28,28,0.14510685207674917,75
29,29,0.14739318767555812,75
30,30,0.14965635929395243,75
0,0,0.0,100
1,1,0.026304162409475584,100
2,2,0.03537474907758826,100
3,3,0.04665699814080775,100
4,4,0.05487644969738784,100
5,5,0.061161585558569244,100
6,6,0.06654540281041246,100
7,7,0.07242496596501395,100
8,8,0.07818092781911652,100
9,9,0.08316923643952827,100
10,10,0.08851544123735788,100
11,11,0.09338399774904027,100
12,12,0.0982981638295378,100
13,13,0.1025386827004907,100
14,14,0.10706315954423272,100
15,15,0.11114897420208314,100
16,16,0.1150230753227872,100
17,17,0.11870043394723442,100
18,18,0.12232571181485517,100
19,19,0.12562094789010297,100
20,20,0.12863194027572472,100
21,21,0.13136920945147748,100
22,22,0.13387185945861063,100
23,23,0.13621692756560055,100
24,24,0.13838630554379944,100
25,25,0.1405102124781302,100
26,26,0.14259144458294556,100
27,27,0.14465631534889653,100
28,28,0.14678742393328872,100
29,29,0.1488721142748233,100
30,30,0.1509832807404537,100
