,# of features removed,AOPC-global,aggregation
3,3,0.01439482312265153,avg_3e-3
4,4,0.020901110448792264,avg_3e-3
5,5,0.025901629814112367,avg_3e-3
6,6,0.03108806073717294,avg_3e-3
7,7,0.03544997555013452,avg_3e-3
8,8,0.03975160065916957,avg_3e-3
9,9,0.044755523409556276,avg_3e-3
10,10,0.049334185567555394,avg_3e-3
11,11,0.05791817581835589,avg_3e-3
12,12,0.06570177759443424,avg_3e-3
13,13,0.07364108171422555,avg_3e-3
14,14,0.08104043620652994,avg_3e-3
15,15,0.08847655995394274,avg_3e-3
16,16,0.09503784561342463,avg_3e-3
17,17,0.10087009953296408,avg_3e-3
18,18,0.10608843198728886,avg_3e-3
19,19,0.11078493119618116,avg_3e-3
20,20,0.11503414476613133,avg_3e-3
21,21,0.11889706619335877,avg_3e-3
22,22,0.12242408140952295,avg_3e-3
23,23,0.12565717869100676,avg_3e-3
24,24,0.1286316281899719,avg_3e-3
25,25,0.1313772738813243,avg_3e-3
26,26,0.13391953841035434,avg_3e-3
27,27,0.13628021261588222,avg_3e-3
28,28,0.13847808170378748,avg_3e-3
29,29,0.1405294261858324,avg_3e-3
30,30,0.1424484258625841,avg_3e-3
0,0,0.0,avg_4e-3
1,1,0.004339284677402602,avg_4e-3
2,2,0.01652808094539115,avg_4e-3
3,3,0.023461371509512774,avg_4e-3
4,4,0.028416939225457283,avg_4e-3
5,5,0.03360438764189088,avg_4e-3
6,6,0.0384784539808555,avg_4e-3
7,7,0.044087282064027296,avg_4e-3
8,8,0.054807621843118125,avg_4e-3
9,9,0.06515859730280459,avg_4e-3
10,10,0.07362757722436625,avg_4e-3
11,11,0.08068506049233429,avg_4e-3
12,12,0.08665677710369185,avg_4e-3
13,13,0.09177539134199834,avg_4e-3
14,14,0.09621152368186398,avg_4e-3
15,15,0.1000931394792464,avg_4e-3
16,16,0.10351809459458383,avg_4e-3
17,17,0.10656249914155044,avg_4e-3
18,18,0.10928644005199425,avg_4e-3
19,19,0.11173798687139366,avg_4e-3
20,20,0.11395605304132647,avg_4e-3
21,21,0.11597247683217447,avg_4e-3
22,22,0.11781355942381831,avg_4e-3
23,23,0.11950121846615848,avg_4e-3
24,24,0.12105386478511145,avg_4e-3
25,25,0.12248707677183726,avg_4e-3
26,26,0.12381412490769449,avg_4e-3
27,27,0.1250463838909905,avg_4e-3
28,28,0.12619365949612815,avg_4e-3
29,29,0.1272644500609233,avg_4e-3
30,30,0.1282661573634736,avg_4e-3
0,0,0.0,probabilistic α=0.5
1,1,0.004339284677402602,probabilistic α=0.5
2,2,0.02440044996373658,probabilistic α=0.5
3,3,0.04250435424285337,probabilistic α=0.5
4,4,0.05562718073728815,probabilistic α=0.5
5,5,0.06719858081063901,probabilistic α=0.5
6,6,0.07663261261883024,probabilistic α=0.5
7,7,0.08543256318619925,probabilistic α=0.5
8,8,0.09264981026309843,probabilistic α=0.5
9,9,0.10033113552409394,probabilistic α=0.5
10,10,0.10697748954557734,probabilistic α=0.5
11,11,0.11298222979101559,probabilistic α=0.5
12,12,0.11899132480409796,probabilistic α=0.5
13,13,0.125557806282642,probabilistic α=0.5
14,14,0.13150053909506879,probabilistic α=0.5
15,15,0.13712311345158051,probabilistic α=0.5
16,16,0.1425418181089308,probabilistic α=0.5
17,17,0.14761427794688853,probabilistic α=0.5
18,18,0.15229305867303375,probabilistic α=0.5
19,19,0.1568271457593491,probabilistic α=0.5
20,20,0.16112350233906858,probabilistic α=0.5
21,21,0.1652554571808121,probabilistic α=0.5
22,22,0.1692582115030971,probabilistic α=0.5
23,23,0.17336003613445725,probabilistic α=0.5
24,24,0.17723172488227357,probabilistic α=0.5
25,25,0.18098611605489012,probabilistic α=0.5
26,26,0.18460595406393165,probabilistic α=0.5
27,27,0.1881331810602452,probabilistic α=0.5
28,28,0.19157138597027887,probabilistic α=0.5
29,29,0.1950152711036485,probabilistic α=0.5
30,30,0.19832892675175828,probabilistic α=0.5
0,0,0.0,probabilistic α=0.95
1,1,0.004339284677402602,probabilistic α=0.95
2,2,0.02440044996373658,probabilistic α=0.95
3,3,0.04250435424285337,probabilistic α=0.95
4,4,0.05562718073728815,probabilistic α=0.95
5,5,0.06719858081063901,probabilistic α=0.95
6,6,0.07663261261883024,probabilistic α=0.95
7,7,0.08543256318619925,probabilistic α=0.95
8,8,0.09439644429357091,probabilistic α=0.95
9,9,0.10190310615151918,probabilistic α=0.95
10,10,0.10840655375232755,probabilistic α=0.95
11,11,0.11429220531386995,probabilistic α=0.95
12,12,0.12020053297904044,probabilistic α=0.95
13,13,0.1266806424450886,probabilistic α=0.95
14,14,0.13254851951335225,probabilistic α=0.95
15,15,0.13810559509372128,probabilistic α=0.95
16,16,0.14346650671329858,probabilistic α=0.95
17,17,0.14848759496212477,probabilistic α=0.95
18,18,0.1531204116348365,probabilistic α=0.95
19,19,0.1576131310730617,probabilistic α=0.95
20,20,0.16187205978069963,probabilistic α=0.95
21,21,0.1659699892841872,probabilistic α=0.95
22,22,0.169941676993282,probabilistic α=0.95
23,23,0.1740150238958844,probabilistic α=0.95
24,24,0.17908840437681586,probabilistic α=0.95
25,25,0.18386576528898818,probabilistic α=0.95
26,26,0.18846314790777766,probabilistic α=0.95
27,27,0.19287056915839312,probabilistic α=0.95
28,28,0.19713425679385232,probabilistic α=0.95
29,29,0.20126279236996455,probabilistic α=0.95
30,30,0.2053522874740743,probabilistic α=0.95
0,0,0.0,sum
1,1,0.004339284677402602,sum
2,2,0.02440044996373658,sum
3,3,0.04250435424285337,sum
4,4,0.05562718073728815,sum
5,5,0.06719858081063901,sum
6,6,0.07743463996157599,sum
7,7,0.08613433711110179,sum
8,8,0.09502024333792873,sum
9,9,0.1024645252914412,sum
10,10,0.10965221893251963,sum
11,11,0.11597346087403144,sum
12,12,0.1217524611884203,sum
13,13,0.12812171863951274,sum
14,14,0.13409260378580706,sum
15,15,0.13955317409914766,sum
16,16,0.14482893401252342,sum
17,17,0.14977433185583713,sum
18,18,0.15433942553414295,sum
19,19,0.15877119427740286,sum
20,20,0.16435934377194422,sum
21,21,0.16968003866407005,sum
22,22,0.17471527458879874,sum
23,23,0.17953823564163204,sum
24,24,0.1843906876527336,sum
25,25,0.18913769882305773,sum
26,26,0.19370697982902477,sum
27,27,0.19808830672487662,sum
28,28,0.2022548395773001,sum
29,29,0.20629848916161866,sum
30,30,0.21022554243373956,sum
0,0,0.0,avg
1,1,0.0012251260870626789,avg
2,2,0.00452635790101864,avg
3,3,0.01423374983963738,avg
4,4,0.020853778380280158,avg
5,5,0.025896586234930203,avg
6,6,0.031113223221797884,avg
7,7,0.03535882803088334,avg
8,8,0.03903380618467307,avg
9,9,0.042791910936763294,avg
10,10,0.04623896802494047,avg
11,11,0.049434291513267864,avg
12,12,0.052548025156045654,avg
13,13,0.055508070673720704,avg
14,14,0.059115191897811524,avg
15,15,0.06255923562924316,avg
16,16,0.06576578340542902,avg
17,17,0.07179500706368394,avg
18,18,0.07754551930160745,avg
19,19,0.08295330869882359,avg
20,20,0.08802866298750554,avg
21,21,0.09328165676974914,avg
22,22,0.0982659292622519,avg
23,23,0.10333759956663986,avg
24,24,0.10828540890748264,avg
25,25,0.11303080759403515,avg
26,26,0.11749012715165452,avg
27,27,0.12190875830613246,avg
28,28,0.12623946556806004,avg
29,29,0.130369078506527,avg
30,30,0.13442697198287049,avg
0,0,0.0,avg_2e-3
1,1,0.0012251260870626789,avg_2e-3
2,2,0.00452635790101864,avg_2e-3
3,3,0.01423374983963738,avg_2e-3
4,4,0.020853778380280158,avg_2e-3
5,5,0.025896586234930203,avg_2e-3
6,6,0.031113223221797884,avg_2e-3
7,7,0.03535882803088334,avg_2e-3
8,8,0.03903380618467307,avg_2e-3
9,9,0.042791910936763294,avg_2e-3
10,10,0.04623896802494047,avg_2e-3
11,11,0.049434291513267864,avg_2e-3
12,12,0.052548025156045654,avg_2e-3
13,13,0.055508070673720704,avg_2e-3
14,14,0.059115191897811524,avg_2e-3
15,15,0.06255923562924316,avg_2e-3
16,16,0.06896405429989548,avg_2e-3
17,17,0.07503294480326494,avg_2e-3
18,18,0.08070756092005338,avg_2e-3
19,19,0.0860064375009237,avg_2e-3
20,20,0.09147012476150732,avg_2e-3
21,21,0.0966337221756946,avg_2e-3
22,22,0.10187292383518083,avg_2e-3
23,23,0.10696914271138265,avg_2e-3
24,24,0.11184298174429384,avg_2e-3
25,25,0.1166411163834149,avg_2e-3
26,26,0.12134541304908236,avg_2e-3
27,27,0.12610729638796478,avg_2e-3
28,28,0.131243727666938,avg_2e-3
29,29,0.13669853474375232,avg_2e-3
30,30,0.1428707478358044,avg_2e-3
0,0,0.0,avg_3e-3
1,1,0.004339284677402602,avg_3e-3
2,2,0.01652808094539115,avg_3e-3
3,3,0.02361697080122484,avg_3e-3
4,4,0.02862565130779089,avg_3e-3
5,5,0.03384850825130551,avg_3e-3
6,6,0.03805848745674587,avg_3e-3
7,7,0.042238624647149184,avg_3e-3
8,8,0.046082062349075095,avg_3e-3
9,9,0.05071943517377449,avg_3e-3
10,10,0.05493228589994987,avg_3e-3
11,11,0.06321143329089725,avg_3e-3
12,12,0.07073709110863836,avg_3e-3
13,13,0.07819185334068214,avg_3e-3
14,14,0.08545705343980343,avg_3e-3
15,15,0.0923003137657395,avg_3e-3
16,16,0.09946055970008083,avg_3e-3
17,17,0.10692642278297468,avg_3e-3
18,18,0.1136064055413534,avg_3e-3
19,19,0.11961839002389425,avg_3e-3
20,20,0.1250578045557169,avg_3e-3
21,21,0.1300027268573739,avg_3e-3
22,22,0.1345176559154085,avg_3e-3
23,23,0.1386563408852736,avg_3e-3
24,24,0.14246393105754948,avg_3e-3
25,25,0.14597862967811182,avg_3e-3
26,26,0.14923298025270657,avg_3e-3
27,27,0.15225487721483028,avg_3e-3
28,28,0.15506836748991099,avg_3e-3
29,29,0.15769429174665295,avg_3e-3
30,30,0.16015080153521805,avg_3e-3
0,0,0.0,avg_4e-3
1,1,0.004339284677402602,avg_4e-3
2,2,0.01652808094539115,avg_4e-3
3,3,0.02361697080122484,avg_4e-3
4,4,0.03013078864168976,avg_4e-3
5,5,0.035032595488751275,avg_4e-3
6,6,0.039702632135307274,avg_4e-3
7,7,0.04387140699328801,avg_4e-3
8,8,0.048850034841893764,avg_4e-3
9,9,0.05855506326373986,avg_4e-3
10,10,0.06777361173940664,avg_4e-3
11,11,0.07646124317498314,avg_4e-3
12,12,0.08527964485083722,avg_4e-3
13,13,0.09283827485871218,avg_4e-3
14,14,0.09938908753220381,avg_4e-3
15,15,0.10512104862150898,avg_4e-3
16,16,0.11017866134736648,avg_4e-3
17,17,0.11467431710368427,avg_4e-3
18,18,0.11869674593828439,avg_4e-3
19,19,0.1223169318894245,avg_4e-3
20,20,0.1255923382261703,avg_4e-3
21,21,0.1285699803504847,avg_4e-3
22,22,0.13128869707268476,avg_4e-3
23,23,0.13378085406803483,avg_4e-3
24,24,0.13607363850375692,avg_4e-3
