shit,[UNK],ya,scary,know,’
shit,[UNK],ya,scary,know,’,terrifying
shit,[UNK],ya,scary,know,’,terrifying
shit,[UNK],ya,serious,scary,know,’,terrifying
shit,[UNK],ya,serious,scary,know,’,terrifying
shit,[UNK],ya,serious,scary,know,’,terrifying
shit,[UNK],ya,serious,scary,know,’,terrifying
shit,[UNK],ya,serious,scary,know,’,terrifying
shit,[UNK],ya,serious,scary,know,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,wrong,[UNK],ya,truth,serious,boring,scary,know,sick,’,terrifying
shit,wrong,[UNK],ya,truth,serious,boring,long,scary,know,sick,’,algorithms,terrifying
shit,wrong,illegal,[UNK],ya,truth,serious,boring,long,scary,know,sick,’,algorithms,terrifying
shit,wrong,illegal,[UNK],ya,truth,serious,boring,long,scary,know,sick,’,algorithms,terrifying
shit,wrong,illegal,[UNK],ya,truth,serious,boring,long,scary,know,sick,’,algorithms,terrifying
shit,wrong,illegal,[UNK],ya,truth,serious,boring,long,scary,bad,know,sick,’,algorithms,terrifying
shit,wrong,illegal,[UNK],ya,truth,serious,boring,long,scary,bad,know,sick,mean,’,algorithms,terrifying
shit,wrong,illegal,[UNK],ya,truth,serious,boring,long,scary,bad,know,sick,mean,’,algorithms,terrifying
[UNK],serious,truth,long,mean,scary,know,software,algorithms,shit,bad,boring,sick,’,wrong,illegal,drugs,ya,terrifying
[UNK],serious,truth,long,mean,scary,know,software,algorithms,shit,bad,boring,sick,’,wrong,illegal,drugs,ya,terrifying
[UNK],serious,truth,long,mean,scary,know,software,algorithms,shit,bad,boring,sick,’,wrong,illegal,drugs,ya,terrifying
[UNK],serious,truth,long,mean,scary,know,software,algorithms,shit,bad,boring,sick,’,wrong,illegal,drugs,ya,terrifying
[UNK],serious,truth,long,mean,scary,know,software,algorithms,shit,bad,boring,sick,’,wrong,illegal,drugs,ya,worst,terrifying
[UNK],serious,truth,long,mean,scary,know,software,algorithms,shit,bad,boring,sick,’,wrong,illegal,drugs,ya,worst,terrifying
