time (minutes),AOPC-global,aggregation
1.523376034636989,0.0758909887400881,Gsq
3.046752069273978,0.0801956412086766,Gsq
4.570128103910967,0.0815730097778912,Gsq
6.093504138547956,0.0795618050243972,Gsq
7.616880173184944,0.0769914198268848,Gsq
9.140256207821931,0.0769914198268848,Gsq
10.66363224245892,0.0830180480832584,Gsq
12.187008277095911,0.0830180480832584,Gsq
13.7103843117329,0.0791057051086257,Gsq
15.233760346369888,0.0791057051086257,Gsq
16.757136381006877,0.0710676618210931,Gsq
18.280512415643862,0.0710676618210931,Gsq
19.80388845028085,0.0710676618210931,Gsq
21.32726448491784,0.0710676618210931,Gsq
22.85064051955483,0.0710676618210931,Gsq
24.374016554191822,0.0685408885534942,Gsq
25.897392588828808,0.0685408885534942,Gsq
27.4207686234658,0.0710676618210931,Gsq
28.944144658102783,0.0741794725384882,Gsq
30.46752069273977,0.0741794725384882,Gsq
1.523376034636989,0.0758909887400881,Gh
3.046752069273978,0.0801956412086766,Gh
4.570128103910967,0.0815730097778912,Gh
6.093504138547956,0.0890519040301221,Gh
7.616880173184944,0.0865591781497375,Gh
9.140256207821931,0.0865591781497375,Gh
10.66363224245892,0.0865591781497375,Gh
12.187008277095911,0.0869280611496611,Gh
13.7103843117329,0.082963466633822,Gh
15.233760346369888,0.082963466633822,Gh
16.757136381006877,0.0788313024379621,Gh
18.280512415643862,0.0788313024379621,Gh
19.80388845028085,0.0592727049029278,Gh
21.32726448491784,0.0592727049029278,Gh
22.85064051955483,0.0491319933477272,Gh
24.374016554191822,0.0754213467399222,Gh
25.897392588828808,0.0876693622078967,Gh
27.4207686234658,0.0628115827804754,Gh
28.944144658102783,0.0393212396717617,Gh
30.46752069273977,0.0358053286020493,Gh
1.523376034636989,0.099483173421862,Gpr α=0.5
3.046752069273978,0.0995971903104633,Gpr α=0.5
4.570128103910967,0.1040476951458718,Gpr α=0.5
6.093504138547956,0.0960014223364366,Gpr α=0.5
7.616880173184944,0.097701248144492,Gpr α=0.5
9.140256207821931,0.0958379148164429,Gpr α=0.5
10.66363224245892,0.1005414908874575,Gpr α=0.5
12.187008277095911,0.0941592805967609,Gpr α=0.5
13.7103843117329,0.0971955582105799,Gpr α=0.5
15.233760346369888,0.0971955582105799,Gpr α=0.5
16.757136381006877,0.0950214184875647,Gpr α=0.5
18.280512415643862,0.0932494621329897,Gpr α=0.5
19.80388845028085,0.0963907243917739,Gpr α=0.5
21.32726448491784,0.0960615764907251,Gpr α=0.5
22.85064051955483,0.0943248015575463,Gpr α=0.5
24.374016554191822,0.0967455726685692,Gpr α=0.5
25.897392588828808,0.0954495432591559,Gpr α=0.5
27.4207686234658,0.0942415904781992,Gpr α=0.5
28.944144658102783,0.0942415904781992,Gpr α=0.5
30.46752069273977,0.0954495432591559,Gpr α=0.5
1.523376034636989,0.0789637069578329,Gpr α=0.95
3.046752069273978,0.0853680997076829,Gpr α=0.95
4.570128103910967,0.0851186685508525,Gpr α=0.95
6.093504138547956,0.0863030550979813,Gpr α=0.95
7.616880173184944,0.0813451900895842,Gpr α=0.95
9.140256207821931,0.0813451900895842,Gpr α=0.95
10.66363224245892,0.0830180480832584,Gpr α=0.95
12.187008277095911,0.0830180480832584,Gpr α=0.95
13.7103843117329,0.0791057051086257,Gpr α=0.95
15.233760346369888,0.0791057051086257,Gpr α=0.95
16.757136381006877,0.0791057051086257,Gpr α=0.95
18.280512415643862,0.0791057051086257,Gpr α=0.95
19.80388845028085,0.0791057051086257,Gpr α=0.95
21.32726448491784,0.0791057051086257,Gpr α=0.95
22.85064051955483,0.0791057051086257,Gpr α=0.95
24.374016554191822,0.0765515986560573,Gpr α=0.95
25.897392588828808,0.0791057051086257,Gpr α=0.95
27.4207686234658,0.0791057051086257,Gpr α=0.95
28.944144658102783,0.0791057051086257,Gpr α=0.95
30.46752069273977,0.0741794725384882,Gpr α=0.95
1.523376034636989,0.0345092996930126,Gavg
3.046752069273978,0.0224263693732299,Gavg
4.570128103910967,0.0105150454516767,Gavg
6.093504138547956,0.009987332602147,Gavg
7.616880173184944,0.0099106673541711,Gavg
9.140256207821931,0.0099106673541711,Gavg
10.66363224245892,0.0090529419056943,Gavg
12.187008277095911,0.0073672889471856,Gavg
13.7103843117329,0.0085184834660068,Gavg
15.233760346369888,0.0085176242119502,Gavg
16.757136381006877,0.0036857426962604,Gavg
18.280512415643862,0.0028326858212664,Gavg
19.80388845028085,0.0028396257270365,Gavg
21.32726448491784,0.0024032279830576,Gavg
22.85064051955483,0.0044118404637858,Gavg
24.374016554191822,0.0037847318434227,Gavg
25.897392588828808,0.0027867468964292,Gavg
27.4207686234658,0.0023837502207433,Gavg
28.944144658102783,0.0023837502207433,Gavg
30.46752069273977,0.0033118840300068,Gavg
1.523376034636989,0.0494301241627276,Gavg_4e-3
3.046752069273978,0.0579082678235698,Gavg_4e-3
4.570128103910967,0.0627727810034262,Gavg_4e-3
6.093504138547956,0.0624246573318081,Gavg_4e-3
7.616880173184944,0.0935825924990627,Gavg_4e-3
9.140256207821931,0.0836851062951826,Gavg_4e-3
10.66363224245892,0.0940576968993905,Gavg_4e-3
12.187008277095911,0.0940576968993905,Gavg_4e-3
13.7103843117329,0.0946871596209529,Gavg_4e-3
15.233760346369888,0.0945840427020197,Gavg_4e-3
16.757136381006877,0.096501926077681,Gavg_4e-3
18.280512415643862,0.096630603759626,Gavg_4e-3
19.80388845028085,0.1130106814822149,Gavg_4e-3
21.32726448491784,0.1108210572827789,Gavg_4e-3
22.85064051955483,0.1108846521886701,Gavg_4e-3
