,# of features removed,AOPC-global,sorts
6,6,-0.0064225045718800805,reverse
7,7,-0.006420441213004942,reverse
8,8,-0.006379017800831466,reverse
9,9,-0.0063377276861262075,reverse
10,10,-0.0062861866155950515,reverse
11,11,-0.006159473604292319,reverse
12,12,-0.006072139389463739,reverse
13,13,-0.005985677191654421,reverse
14,14,-0.005635768948081418,reverse
15,15,-0.005338313417744654,reverse
16,16,-0.004840051784213481,reverse
17,17,-0.004403911637950194,reverse
18,18,-0.004028434973644163,reverse
19,19,-0.003673999198574277,reverse
20,20,-0.003645605441755795,reverse
21,21,-0.0036145104623693013,reverse
22,22,-0.0035911974391558,reverse
23,23,-0.0035899442516794645,reverse
24,24,-0.0035577919850639044,reverse
25,25,-0.0035137638244029353,reverse
26,26,-0.0034726003484799014,reverse
27,27,-0.0034282952902394406,reverse
28,28,-0.003395259169116141,reverse
29,29,-0.0033614958900402008,reverse
30,30,-0.003335264270275373,reverse
0,0,0.0,baseline
1,1,-0.0027222846260271873,baseline
2,2,-0.004640014988761627,baseline
3,3,-0.0053547024030101385,baseline
4,4,-0.005864567575314574,baseline
5,5,-0.006223785171544663,baseline
6,6,-0.0033770507602247607,baseline
7,7,-0.001010309308162536,baseline
8,8,0.0008539531486028743,baseline
9,9,0.005283758734413355,baseline
10,10,0.008951154473880422,baseline
11,11,0.01209267604410029,baseline
12,12,0.014766932931072136,baseline
13,13,0.01709269064629187,baseline
14,14,0.01912383139605869,baseline
15,15,0.02056178323219833,baseline
16,16,0.021912230478310864,baseline
17,17,0.02318522500196067,baseline
18,18,0.02465115681903989,baseline
19,19,0.02595654302541673,baseline
20,20,0.027612071503400212,baseline
21,21,0.028924672465659426,baseline
22,22,0.030148462972527944,baseline
23,23,0.03128095771405204,baseline
24,24,0.03238722040862166,baseline
25,25,0.03333128315724279,baseline
26,26,0.0342011012250339,baseline
27,27,0.03473681836031499,baseline
28,28,0.03523725232176234,baseline
29,29,0.03571307928169814,baseline
30,30,0.035922390972258425,baseline
0,0,0.0,normal
1,1,0.014474481689351663,normal
2,2,0.027177479718524942,normal
3,3,0.03400009835833655,normal
4,4,0.03875898234456572,normal
5,5,0.04229962271361976,normal
6,6,0.04493909910009864,normal
7,7,0.0469602216398976,normal
8,8,0.048589835705275676,normal
9,9,0.049167459188056616,normal
10,10,0.049673860038991255,normal
11,11,0.0502427057349503,normal
12,12,0.050893795826308715,normal
13,13,0.051522433255808665,normal
14,14,0.05213012206206415,normal
15,15,0.05269113253464117,normal
16,16,0.053188123749946026,normal
17,17,0.053342714724235706,normal
18,18,0.053505925092558776,normal
19,19,0.05371704156506577,normal
20,20,0.05397072970713744,normal
21,21,0.05420143178540791,normal
22,22,0.054422830690678214,normal
23,23,0.05464204259000923,normal
24,24,0.05488069249672756,normal
25,25,0.055138615862466454,normal
26,26,0.05540311082710315,normal
27,27,0.05566797116733224,normal
28,28,0.055950027366112494,normal
29,29,0.05623399911859985,normal
30,30,0.05656763005909006,normal
0,0,0.0,random
1,1,-0.0004859264817432114,random
2,2,-0.0006513415583618412,random
3,3,-0.0007416562044901172,random
4,4,-0.000841262089351745,random
5,5,-0.0011507492677076756,random
6,6,-0.0014218961511143627,random
7,7,-0.0018576241170891981,random
8,8,-0.002196559325301602,random
9,9,-0.0020622334051200726,random
10,10,-0.0019520565728378084,random
11,11,-0.001860121064959869,random
12,12,-0.0017332386117613527,random
13,13,-0.0016008743227787538,random
14,14,-0.0013916352900114643,random
15,15,-0.0012217784205228342,random
16,16,-0.0010719477856605004,random
17,17,-0.0009383679654953419,random
18,18,-0.000791465495999568,random
19,19,-0.0006594669934542688,random
20,20,-0.0005175183275697677,random
21,21,-0.00037150194461461466,random
22,22,-0.00023936426104683117,random
23,23,-0.00011823800694769469,random
24,24,-4.5591717882690135e-06,random
25,25,9.964096007290522e-05,random
26,26,0.00022741159058431632,random
27,27,0.00027630742427102445,random
28,28,0.00031858827649808405,random
29,29,0.00036046627678496044,random
30,30,0.0003995821645638715,random
0,0,0.0,reverse
1,1,-0.0027222846260271873,reverse
2,2,-0.004640014988761627,reverse
3,3,-0.0053547024030101385,reverse
4,4,-0.005864567575314574,reverse
5,5,-0.006223785171544663,reverse
6,6,-0.0064613707231666595,reverse
7,7,-0.00659462530195176,reverse
8,8,-0.006533836912073707,reverse
9,9,-0.006467427721386905,reverse
10,10,-0.006321732418586267,reverse
11,11,-0.0056331679896017796,reverse
12,12,-0.0050523895310217466,reverse
13,13,-0.004572462387915434,reverse
14,14,-0.004143439476764753,reverse
15,15,-0.00377031561452295,reverse
16,16,-0.0034449820643001443,reverse
17,17,-0.0035058147470553233,reverse
18,18,-0.0033689412014467966,reverse
19,19,-0.0032521437922842676,reverse
20,20,-0.003136115904839317,reverse
21,21,-0.0030216195953703343,reverse
22,22,-0.002919476715294794,reverse
23,23,-0.00277871023734013,reverse
24,24,-0.002664731677729622,reverse
25,25,-0.002387477253320215,reverse
26,26,-0.0021215857967891005,reverse
27,27,-0.0018607106683503716,reverse
28,28,-0.001612001679356915,reverse
29,29,-0.0013773926260252601,reverse
30,30,-0.0011575420418143668,reverse
0,0,0.0,baseline
1,1,-0.0027222846260271873,baseline
2,2,-0.004640014988761627,baseline
3,3,-0.0053547024030101385,baseline
4,4,-0.005864567575314574,baseline
5,5,-0.006223785171544663,baseline
6,6,-0.0033770507602247607,baseline
7,7,-0.001010309308162536,baseline
8,8,0.0008539531486028743,baseline
9,9,0.005283758734413355,baseline
10,10,0.008951154473880422,baseline
11,11,0.01209267604410029,baseline
12,12,0.014766932931072136,baseline
13,13,0.01709269064629187,baseline
14,14,0.01912383139605869,baseline
15,15,0.02056178323219833,baseline
16,16,0.021912230478310864,baseline
17,17,0.02318522500196067,baseline
18,18,0.02465115681903989,baseline
19,19,0.02595654302541673,baseline
20,20,0.027612071503400212,baseline
21,21,0.028924672465659426,baseline
22,22,0.030148462972527944,baseline
23,23,0.03128095771405204,baseline
24,24,0.03238722040862166,baseline
25,25,0.03333128315724279,baseline
26,26,0.0342011012250339,baseline
27,27,0.03473681836031499,baseline
28,28,0.03523725232176234,baseline
29,29,0.03571307928169814,baseline
30,30,0.035922390972258425,baseline
0,0,0.0,normal
1,1,0.014474481689351663,normal
2,2,0.027177479718524942,normal
3,3,0.03408105545546863,normal
4,4,0.03888851369243669,normal
5,5,0.04240756550351225,normal
6,6,0.04503162149143506,normal
7,7,0.04704117873231696,normal
8,8,0.0477974257313123,normal
9,9,0.048494860728843056,normal
10,10,0.04911953194991835,normal
11,11,0.049722411543872615,normal
12,12,0.050272438031819314,normal
13,13,0.05079534466945463,normal
14,14,0.05090499966118142,normal
15,15,0.05104026030684648,normal
16,16,0.051187428549210594,normal
17,17,0.05133321235071032,normal
18,18,0.05157980146426849,normal
19,19,0.05186595880748708,normal
20,20,0.05213931533079047,normal
21,21,0.052483611185296423,normal
22,22,0.052833313567203104,normal
23,23,0.05322929736741375,normal
24,24,0.053607160732154595,normal
25,25,0.05392276690795264,normal
26,26,0.054224158966192954,normal
27,27,0.05451674412852432,normal
28,28,0.05480530701323475,normal
29,29,0.05509319859260702,normal
30,30,0.055471381556868274,normal
0,0,0.0,random
1,1,-0.0002454707641246562,random
2,2,4.2949824352196265e-05,random
3,3,8.203369237960641e-05,random
4,4,0.0002481023118919699,random
5,5,4.903597455915564e-05,random
6,6,-9.217355622682437e-05,random
7,7,-0.0009021902235300973,random
8,8,-0.0015434667282280094,random
9,9,-0.002108160457531043,random
10,10,-0.0027744381342467146,random
11,11,-0.0033330702948979195,random
12,12,-0.0038018042780106195,random
13,13,-0.004228643527190131,random
14,14,-0.004623649922773874,random
15,15,-0.004967114064845914,random
16,16,-0.005282490207562452,random
17,17,-0.005562412270931643,random
18,18,-0.005835825034746606,random
19,19,-0.0060819231505965425,random
20,20,-0.006280040228801467,random
21,21,-0.006477167008567761,random
22,22,-0.006682387273041364,random
23,23,-0.006846605225434531,random
24,24,-0.0069657754964392495,random
25,25,-0.007074803232243687,random
26,26,-0.007157073775660965,random
27,27,-0.007238301724402014,random
28,28,-0.007312442952355848,random
29,29,-0.007381688117132949,random
30,30,-0.00744680737083269,random
0,0,0.0,reverse
1,1,-0.0027222846260271873,reverse
2,2,-0.004640014988761627,reverse
3,3,-0.0053547024030101385,reverse
4,4,-0.005864567575314574,reverse
5,5,-0.006178441328376988,reverse
6,6,-0.0064225045718800805,reverse
7,7,-0.006420441213004942,reverse
8,8,-0.006379017800831466,reverse
9,9,-0.006328090521268888,reverse
10,10,-0.006195062236660797,reverse
11,11,-0.006075942923602585,reverse
12,12,-0.005995034145750139,reverse
13,13,-0.005931455823604203,reverse
14,14,-0.005893096598261619,reverse
15,15,-0.005867148028422116,reverse
16,16,-0.005853891798917506,reverse
17,17,-0.006184643008118204,reverse
18,18,-0.006471890780186042,reverse
19,19,-0.006715304983215311,reverse
20,20,-0.006779488861554418,reverse
21,21,-0.006832934513512475,reverse
22,22,-0.00684977490622115,reverse
23,23,-0.0068679214351581456,reverse
24,24,-0.006900148203071877,reverse
25,25,-0.006925410661953102,reverse
26,26,-0.0069349080988705195,reverse
27,27,-0.006943230023510272,reverse
28,28,-0.006948407592422275,reverse
29,29,-0.00694738173789059,reverse
30,30,-0.006943563214578632,reverse
0,0,0.0,baseline
1,1,-0.0027222846260271873,baseline
2,2,-0.004640014988761627,baseline
3,3,-0.0053547024030101385,baseline
4,4,-0.005864567575314574,baseline
5,5,-0.006223785171544663,baseline
6,6,-0.0033770507602247607,baseline
7,7,-0.001010309308162536,baseline
8,8,0.0008539531486028743,baseline
9,9,0.005283758734413355,baseline
10,10,0.008951154473880422,baseline
11,11,0.01209267604410029,baseline
12,12,0.014766932931072136,baseline
13,13,0.01709269064629187,baseline
14,14,0.01912383139605869,baseline
15,15,0.02056178323219833,baseline
16,16,0.021912230478310864,baseline
17,17,0.02318522500196067,baseline
18,18,0.02465115681903989,baseline
19,19,0.02595654302541673,baseline
20,20,0.027612071503400212,baseline
21,21,0.028924672465659426,baseline
22,22,0.030148462972527944,baseline
23,23,0.03128095771405204,baseline
24,24,0.03238722040862166,baseline
25,25,0.03333128315724279,baseline
26,26,0.0342011012250339,baseline
27,27,0.03473681836031499,baseline
28,28,0.03523725232176234,baseline
29,29,0.03571307928169814,baseline
30,30,0.035922390972258425,baseline
0,0,0.0,normal
1,1,0.014474481689351663,normal
2,2,0.027177479718524942,normal
3,3,0.03408105545546863,normal
4,4,0.0386000964738107,normal
5,5,0.04216721782132391,normal
6,6,0.04482560919241648,normal
7,7,0.04686091797067571,normal
8,8,0.04850156577707845,normal
9,9,0.049088016252679105,normal
10,10,0.049601639188648065,normal
11,11,0.05011197854501372,normal
12,12,0.05057516045010329,normal
13,13,0.05101195826941408,normal
14,14,0.051425479801375566,normal
15,15,0.051867595068112164,normal
16,16,0.05231317003936992,normal
17,17,0.05271110854557279,normal
18,18,0.05309205091613396,normal
19,19,0.053540267966292174,normal
20,20,0.054029709099395425,normal
21,21,0.05447473207860368,normal
22,22,0.05484135851296834,normal
23,23,0.05521594832710864,normal
24,24,0.05556169880330776,normal
25,25,0.05590751770063458,normal
26,26,0.056247691510969054,normal
27,27,0.056380741923504334,normal
28,28,0.05654462095198625,normal
29,29,0.05675903102994965,normal
30,30,0.057006385834740755,normal
0,0,0.0,random
1,1,4.461058383179769e-06,random
2,2,-1.8723482250245017e-05,random
3,3,0.00017152419015484244,random
4,4,0.00027751096146634617,random
5,5,0.00034317923457597707,random
6,6,0.000347464068963958,random
7,7,0.00033680426877531435,random
8,8,0.00032511701814771167,random
9,9,0.0003164818781631806,random
10,10,0.0002674150798130884,random
11,11,0.0001906919062730552,random
12,12,0.00012185258185697142,random
13,13,-8.294855462825847e-06,random
14,14,-0.00012482911619548078,random
15,15,-0.00022589396192241657,random
16,16,-0.0003106375162463612,random
17,17,-0.00034849071960597476,random
18,18,-0.00036487927000571394,random
19,19,-0.0003801990563754136,random
20,20,-0.0003901443225436018,random
21,21,-0.00039335131022587635,random
22,22,-0.00039594123661757907,random
23,23,-0.0003983441021577672,random
24,24,-0.0003817823824802757,random
25,25,-0.00034200556690136666,random
26,26,-0.00032431315453004497,random
27,27,-0.00031044079786363095,random
28,28,-0.0002753678372018243,random
29,29,-0.00024562504598886476,random
30,30,-0.00021001419077138717,random
0,0,0.0,reverse
1,1,-0.0027222846260271873,reverse
2,2,-0.004640014988761627,reverse
3,3,-0.0053547024030101385,reverse
4,4,-0.005864567575314574,reverse
5,5,-0.006178441328376988,reverse
6,6,-0.0064225045718800805,reverse
7,7,-0.006420441213004942,reverse
8,8,-0.006379017800831466,reverse
9,9,-0.0063377276861262075,reverse
10,10,-0.0062861866155950515,reverse
11,11,-0.006159473604292319,reverse
12,12,-0.005528730277820201,reverse
13,13,-0.0049894671333287,reverse
14,14,-0.004494854855165252,reverse
15,15,-0.004079090635996648,reverse
16,16,-0.003714981400774184,reverse
17,17,-0.003185679388019909,reverse
18,18,-0.0027146719419571205,reverse
19,19,-0.002291307710689787,reverse
20,20,-0.0018966955710340012,reverse
21,21,-0.001825967183112666,reverse
22,22,-0.00176407468483157,reverse
23,23,-0.0017230473388092941,reverse
24,24,-0.001670333169738636,reverse
25,25,-0.0016089183474485695,reverse
26,26,-0.0015140614227728574,reverse
27,27,-0.0014234395585299574,reverse
28,28,-0.0013392871633779468,reverse
29,29,-0.001254799479586215,reverse
30,30,-0.001183461875832477,reverse
0,0,0.0,baseline
1,1,-0.0027222846260271873,baseline
2,2,-0.004640014988761627,baseline
3,3,-0.0053547024030101385,baseline
4,4,-0.005864567575314574,baseline
5,5,-0.006223785171544663,baseline
6,6,-0.0033770507602247607,baseline
7,7,-0.001010309308162536,baseline
8,8,0.0008539531486028743,baseline
9,9,0.005283758734413355,baseline
10,10,0.008951154473880422,baseline
11,11,0.01209267604410029,baseline
12,12,0.014766932931072136,baseline
13,13,0.01709269064629187,baseline
14,14,0.01912383139605869,baseline
15,15,0.02056178323219833,baseline
16,16,0.021912230478310864,baseline
17,17,0.02318522500196067,baseline
18,18,0.02465115681903989,baseline
19,19,0.02595654302541673,baseline
20,20,0.027612071503400212,baseline
21,21,0.028924672465659426,baseline
22,22,0.030148462972527944,baseline
23,23,0.03128095771405204,baseline
24,24,0.03238722040862166,baseline
25,25,0.03333128315724279,baseline
26,26,0.0342011012250339,baseline
27,27,0.03473681836031499,baseline
28,28,0.03523725232176234,baseline
29,29,0.03571307928169814,baseline
30,30,0.035922390972258425,baseline
