,time (minutes),AOPC-global,optimization
0,0.6326435753646481,0.08854343294098135,0.1
1,1.2652871507292962,0.0914552462076564,0.1
2,1.8979307260939444,0.09269061228235459,0.1
3,2.5305743014585924,0.09304303486977308,0.1
4,3.1632178768232406,0.09304303486977308,0.1
5,3.795861452187889,0.09389394346063853,0.1
6,4.428505027552537,0.09179314298646235,0.1
7,5.061148602917185,0.09211751822508298,0.1
8,5.693792178281833,0.09447709770510522,0.1
9,6.326435753646481,0.09432721468419343,0.1
10,6.9590793290111295,0.09432721468419343,0.1
11,7.591722904375778,0.09326402307681793,0.1
12,8.224366479740425,0.09401886403781791,0.1
13,8.857010055105073,0.09401886403781791,0.1
14,9.489653630469723,0.09401886403781791,0.1
15,10.12229720583437,0.09401886403781791,0.1
16,10.754940781199018,0.09401886403781791,0.1
17,11.387584356563666,0.09401886403781791,0.1
18,12.020227931928314,0.09441765421159873,0.1
19,12.652871507292963,0.09441765421159873,0.1
0,0.2222465498210475,0.0885491142892798,0.5
1,0.444493099642095,0.0912826440865529,0.5
2,0.6667396494631425,0.09227611278075516,0.5
3,0.88898619928419,0.09304303486977308,0.5
4,1.1112327491052374,0.0925351757897101,0.5
5,1.333479298926285,0.09389394346063853,0.5
6,1.5557258487473322,0.09327778781218682,0.5
7,1.77797239856838,0.09390917592347305,0.5
8,2.0002189483894273,0.09379171735849406,0.5
9,2.222465498210475,0.0944505570581799,0.5
10,2.4447120480315223,0.09534421031609865,0.5
11,2.66695859785257,0.09580197954980088,0.5
12,2.8892051476736174,0.09617842609833306,0.5
13,3.1114516974946644,0.09602596150804203,0.5
14,3.333698247315712,0.09580197954980088,0.5
15,3.55594479713676,0.09580197954980088,0.5
16,3.778191346957807,0.09631182009341463,0.5
17,4.0004378967788545,0.09631182009341463,0.5
18,4.222684446599902,0.0969038079323756,0.5
19,4.44493099642095,0.0969038079323756,0.5
0,0.3648735795021277,0.08987527349042564,topk-0.1
1,0.7297471590042554,0.09322454063418802,topk-0.1
2,1.094620738506383,0.0921655484866649,topk-0.1
3,1.4594943180085107,0.09360216305080749,topk-0.1
4,1.8243678975106383,0.09360216305080749,topk-0.1
5,2.189241477012766,0.09360216305080749,topk-0.1
6,2.5541150565148936,0.09415169720384423,topk-0.1
7,2.9189886360170214,0.09360216305080749,topk-0.1
8,3.283862215519149,0.0946792388567222,topk-0.1
9,3.6487357950212767,0.0946792388567222,topk-0.1
10,4.013609374523404,0.09535120282619051,topk-0.1
11,4.378482954025532,0.09535120282619051,topk-0.1
12,4.74335653352766,0.09535120282619051,topk-0.1
13,5.108230113029787,0.09401886403781791,topk-0.1
14,5.473103692531915,0.09401886403781791,topk-0.1
15,5.837977272034043,0.09479734045763262,topk-0.1
16,6.20285085153617,0.09479734045763262,topk-0.1
17,6.567724431038298,0.09479734045763262,topk-0.1
18,6.932598010540426,0.09441765421159873,topk-0.1
19,7.297471590042553,0.09441765421159873,topk-0.1
0,0.15200091606024554,0.09018728959459005,topk-0.5
1,0.3040018321204911,0.09335038482119781,topk-0.5
2,0.45600274818073655,0.09354195797134206,topk-0.5
3,0.6080036642409822,0.09389394346063853,topk-0.5
